Mode,Q1,Q2,Q4,Q5a,Q5f,Q6c,Q7a,Q7c,Q8d,Q10a,Q10d,Q11,Q11a,Q12,Q14,Q15,Q16,Q18,sDevType,p_gender_sdc,p_age_group_sdc,p_education_sdc,total_time_taken,neutral_count,disagree_count,agree_count,very_count,just_count,vmj_count,opinionated,undecided_voter,Q8a
2.0,2.0,36.0,3.0,4.0,1.0,4.0,3.0,3.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,2.0,2.0,2.0,12.09999999999999,3.0,21.0,13.0,7.0,29.0,-22.0,0.0,0.0,9.0
2.0,2.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,0.0,1.0,3.0,1.0,12.066666666666665,4.0,18.0,15.0,6.0,30.0,-24.0,0.0,0.0,6.0
2.0,2.0,13.0,100.0,2.0,1.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,1.0,3.0,3.0,17.8,2.0,22.0,13.0,8.0,28.0,-20.0,0.0,0.0,9.0
2.0,4.0,5.0,-98.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,2.0,3.0,2.0,11.866666666666674,8.0,27.0,19.0,14.0,40.0,-26.0,0.0,1.0,3.0
1.0,4.0,16.0,100.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,-1.0,1.0,3.0,2.0,23.10000000000001,3.0,42.0,9.0,6.0,48.0,-42.0,0.0,0.0,6.0
2.0,4.0,32.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,14.966666666666672,6.0,37.0,11.0,22.0,32.0,-10.0,0.0,0.0,1.0
2.0,4.0,16.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,16.68333333333333,4.0,24.0,7.0,14.0,20.0,-6.0,0.0,0.0,3.0
2.0,4.0,16.0,-98.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,10.9,2.0,28.0,7.0,5.0,31.0,-26.0,0.0,1.0,3.0
2.0,2.0,2.0,-98.0,1.0,1.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,26.283333333333324,1.0,28.0,6.0,13.0,21.0,-8.0,0.0,1.0,8.0
2.0,4.0,16.0,-98.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,0.0,1.0,4.0,3.0,12.783333333333342,4.0,28.0,3.0,4.0,30.0,-26.0,0.0,1.0,6.0
2.0,2.0,36.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,29.583333333333343,6.0,37.0,11.0,5.0,49.0,-44.0,0.0,0.0,4.0
1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,7.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,-1.0,2.0,4.0,3.0,18.299999999999994,6.0,40.0,8.0,18.0,36.0,-18.0,0.0,0.0,5.0
2.0,1.0,37.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,7.599999999999996,22.0,22.0,10.0,6.0,48.0,-42.0,0.0,0.0,6.0
2.0,2.0,13.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,0.0,1.0,2.0,2.0,12.366666666666667,2.0,21.0,14.0,18.0,18.0,0.0,0.0,0.0,3.0
2.0,2.0,96.0,4.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,0.0,2.0,1.0,1.0,5.133333333333336,3.0,28.0,6.0,9.0,27.0,-18.0,0.0,0.0,9.0
2.0,4.0,16.0,100.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,1.0,2.0,1.0,14.266666666666673,8.0,34.0,12.0,10.0,44.0,-34.0,0.0,0.0,6.0
2.0,2.0,16.0,1.0,2.0,1.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,8.116666666666669,5.0,43.0,6.0,5.0,49.0,-44.0,0.0,0.0,7.0
2.0,4.0,34.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,0.0,1.0,3.0,2.0,12.06666666666667,2.0,27.0,8.0,11.0,25.0,-14.0,0.0,0.0,5.0
2.0,5.0,4.0,100.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,2.0,2.0,5.966666666666668,4.0,45.0,5.0,4.0,50.0,-46.0,0.0,0.0,5.0
2.0,2.0,29.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,0.0,2.0,4.0,3.0,16.73333333333334,6.0,30.0,18.0,9.0,45.0,-36.0,0.0,0.0,7.0
2.0,2.0,-99.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,23.849999999999994,9.0,32.0,13.0,0.0,54.0,-54.0,0.0,0.0,2.0
1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,1.0,4.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,-1.0,2.0,4.0,3.0,12.250000000000009,4.0,34.0,16.0,25.0,29.0,-4.0,0.0,0.0,9.0
1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,-1.0,1.0,4.0,1.0,14.3,2.0,16.0,18.0,17.0,19.0,-2.0,0.0,0.0,7.0
2.0,2.0,11.0,3.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,7.916666666666668,1.0,29.0,7.0,12.0,24.0,-12.0,0.0,0.0,7.0
2.0,1.0,11.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,4.0,3.0,14.483333333333333,2.0,21.0,31.0,18.0,36.0,-18.0,0.0,0.0,8.0
2.0,2.0,16.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,11.599999999999996,5.0,19.0,13.0,11.0,25.0,-14.0,0.0,0.0,6.0
2.0,2.0,11.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,9.249999999999996,4.0,22.0,11.0,5.0,31.0,-26.0,0.0,0.0,5.0
2.0,2.0,11.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,0.0,1.0,3.0,1.0,25.21666666666665,3.0,27.0,7.0,13.0,23.0,-10.0,0.0,0.0,6.0
2.0,2.0,-98.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,5.9833333333333325,9.0,44.0,1.0,6.0,48.0,-42.0,0.0,0.0,7.0
1.0,4.0,20.0,3.0,2.0,1.0,4.0,4.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,-1.0,1.0,3.0,2.0,12.733333333333347,9.0,33.0,12.0,15.0,39.0,-24.0,0.0,0.0,7.0
2.0,3.0,11.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,2.0,4.0,1.0,23.20000000000001,10.0,25.0,19.0,5.0,49.0,-44.0,0.0,0.0,5.0
2.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,0.0,1.0,4.0,3.0,18.316666666666666,2.0,19.0,11.0,12.0,19.0,-7.0,0.0,0.0,8.0
2.0,2.0,16.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,1.0,4.0,2.0,39.816666666666656,3.0,26.0,8.0,15.0,21.0,-6.0,0.0,0.0,1.0
2.0,4.0,16.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,2.0,3.0,3.0,20.516666666666666,2.0,32.0,3.0,18.0,18.0,0.0,0.0,0.0,5.0
1.0,4.0,13.0,100.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,-1.0,2.0,3.0,2.0,13.649999999999995,4.0,29.0,3.0,13.0,23.0,-10.0,0.0,0.0,7.0
2.0,4.0,16.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,2.0,4.0,2.0,11.466666666666665,8.0,35.0,11.0,4.0,50.0,-46.0,0.0,0.0,3.0
1.0,2.0,28.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,-98.0,2.0,2.0,2.0,3.0,3.0,2.0,-98.0,-1.0,2.0,4.0,2.0,20.45,11.0,20.0,9.0,9.0,31.0,-22.0,0.0,0.0,5.0
2.0,2.0,30.0,3.0,2.0,1.0,3.0,1.0,1.0,5.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,6.800000000000005,7.0,23.0,7.0,11.0,25.0,-14.0,0.0,0.0,5.0
2.0,4.0,11.0,100.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,0.0,2.0,2.0,1.0,14.816666666666675,2.0,27.0,8.0,10.0,26.0,-16.0,0.0,0.0,4.0
2.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,3.0,2.0,3.0,0.0,2.0,2.0,2.0,6.433333333333333,2.0,30.0,5.0,19.0,18.0,1.0,1.0,0.0,3.0
2.0,4.0,11.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,33.14999999999999,1.0,25.0,11.0,15.0,21.0,-6.0,0.0,0.0,3.0
2.0,4.0,6.0,100.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,0.0,2.0,3.0,1.0,9.649999999999997,0.0,26.0,11.0,11.0,25.0,-14.0,0.0,0.0,2.0
2.0,2.0,5.0,3.0,2.0,2.0,4.0,3.0,3.0,6.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,8.966666666666667,0.0,50.0,4.0,32.0,22.0,10.0,1.0,0.0,10.0
2.0,2.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,1.0,3.0,1.0,6.766666666666668,13.0,31.0,10.0,3.0,51.0,-48.0,0.0,0.0,8.0
2.0,2.0,11.0,100.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,4.0,3.0,32.53333333333332,21.0,18.0,15.0,10.0,44.0,-34.0,0.0,0.0,7.0
2.0,4.0,16.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,0.0,1.0,4.0,1.0,10.416666666666664,3.0,21.0,13.0,8.0,28.0,-20.0,0.0,0.0,6.0
2.0,1.0,16.0,-98.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,2.0,3.0,0.0,2.0,4.0,2.0,23.683333333333344,3.0,30.0,4.0,20.0,16.0,4.0,1.0,1.0,3.0
2.0,4.0,16.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0,2.0,4.0,1.0,11.303333333333347,6.0,29.0,19.0,13.0,41.0,-28.0,0.0,0.0,5.0
2.0,4.0,19.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,11.483333333333325,8.0,34.0,12.0,5.0,49.0,-44.0,0.0,0.0,4.0
2.0,2.0,18.0,3.0,1.0,2.0,4.0,3.0,3.0,7.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,8.083333333333336,5.0,36.0,13.0,6.0,48.0,-42.0,0.0,0.0,7.0
